period,omit_geo,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,influence__D1_b_minus_a,influence__D2_c_minus_b,influence__D3_f_minus_c,influence__D_TOTAL_f_minus_a,influence__I1_construct_x_climate,influence__I2_scope_x_climate
EARLY_2010_2016,EL,-0.15768772385163218,0.23350427350427347,0.4229059829059829,-0.13853259904536014,0.4639316239316239,0.6608547008547008,0.39119199735590565,0.18940170940170944,0.23794871794871786,0.818542424706333,0.21127222562107845,0.0075213675213674225,0.0,0.07471787233916999,-0.005030525030525118,0.011746031746031893,0.08143337905467674,0.008494847066266631,-0.00630036630036615
EARLY_2010_2016,HU,-0.22609888387403224,0.20888888888888887,0.39555555555555555,-0.1915512480627202,0.4803418803418803,0.6745299145299145,0.4349877727629211,0.18666666666666668,0.27897435897435896,0.9006287984039467,0.23690535564167936,0.0075213675213675335,0.0,0.03092209693215453,-0.0022954822954823484,-0.02927960927960921,-0.0006529946429369993,-0.017138282954334283,-0.006300366300366261
EARLY_2010_2016,IE,-0.24833251088131225,0.23829059829059826,0.41743589743589743,-0.23841289267806423,0.5097435897435897,0.6970940170940171,0.48662310917191054,0.17914529914529917,0.27965811965811965,0.9454265279753293,0.26153337324974335,0.008205128205128226,0.0,-0.0207132394768349,0.005225885225885157,-0.0299633699633699,-0.045450724214319616,-0.04176630056239827,-0.006984126984126954
EARLY_2010_2016,IT,-0.2760390306903843,0.2287179487179487,0.4229059829059829,-0.29040537429508834,0.4605128205128205,0.6594871794871794,0.5047569794083331,0.1941880341880342,0.23658119658119647,0.9355262101775637,0.2461612153995758,0.0047863247863246805,1.1102230246251565e-16,-0.038847109713257444,-0.009816849816849882,0.013113553113553278,-0.03555040641655394,-0.026394142712230728,-0.0035653235653234083
EARLY_2010_2016,LV,-0.16555500725420816,0.19247863247863245,0.3839316239316239,-0.13716437584491212,0.48376068376068376,0.6649572649572648,0.35803363973284064,0.19145299145299144,0.2810256410256409,0.830512272211473,0.2628914198727552,-0.010256410256410387,1.1102230246251565e-16,0.107876229962235,-0.007081807081807112,-0.031330891330891175,0.06946353154953677,-0.04312434718541014,0.011477411477411659
EARLY_2010_2016,LT,-0.23293999987627226,0.18905982905982904,0.37982905982905973,-0.15460922165062418,0.5528205128205128,0.7264957264957265,0.42199982893610133,0.1907692307692307,0.34666666666666673,0.9594357263719987,0.28542990553503567,-0.017094017094017033,1.1102230246251565e-16,0.04391004075897431,-0.006398046398046364,-0.09697191697191698,-0.05945992261098898,-0.06566283284769059,0.018315018315018305
EARLY_2010_2016,LU,-0.12416625544065613,0.3285470085470085,0.4167521367521367,-0.14503165924748815,0.5343589743589743,0.669059829059829,0.45271326398766465,0.08820512820512816,0.2523076923076923,0.793226084500485,0.2266773696187978,0.04649572649572653,0.0,0.013196605707410991,0.09616605616605617,-0.002612942612942537,0.10674971926052468,-0.006910296931452731,-0.04527472527472526
EARLY_2010_2016,MT,-0.1604241702525282,0.40239316239316236,0.4523076923076923,-0.13853259904536014,0.6806837606837607,0.7155555555555554,0.5628173326456906,0.04991452991452994,0.2632478632478631,0.8759797258080836,0.2563990270834303,-0.015042735042735234,0.0,-0.09690746295061492,0.1344566544566544,-0.013553113553113338,0.02399607795292613,-0.03663195439608524,0.016263736263736506
EARLY_2010_2016,NL,-0.22298222918250932,0.2588034188034188,0.4393162393162393,-0.17339262299928257,0.5295726495726496,0.7114529914529912,0.4817856479859281,0.18051282051282053,0.2721367521367519,0.9344352206355006,0.2211796245860041,0.0013675213675211073,0.0,-0.01587577829085246,0.0038583638583638002,-0.022442002442002174,-0.034459416874490834,-0.0014125518986590202,-0.00014652014651983514
EARLY_2010_2016,PL,-0.21515309827044823,0.2533333333333333,0.4584615384615384,-0.1908671364624962,0.5029059829059829,0.7114529914529912,0.46848643160378156,0.20512820512820512,0.2529914529914528,0.9266060897234395,0.2252866877646975,0.00341880341880324,-1.1102230246251565e-16,-0.002576561908705921,-0.020757020757020794,-0.003296703296703063,-0.02663028596242978,-0.0055196150773524355,-0.002197802197801968
