period,analysis_label,geo,spec,estimator,cmur_mode,years,n_years,CMUR,DMC,RMC,TERR,CFOOT
EARLY_2010_2016,Theil_Sen,FI,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-1.225,0.025045768931208467,0.024720689595889283,0.05295559498046831,0.04509523859972431
EARLY_2010_2016,Theil_Sen,FR,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.5,0.018555581291533303,0.01788954485295724,0.021700619744528266,0.02826604577257861
EARLY_2010_2016,Theil_Sen,DE,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.19999999999999987,0.006207471286904909,0.0042525618092283946,0.00738393749291566,0.022440950246915243
EARLY_2010_2016,Theil_Sen,EL,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-0.10000000000000009,0.04659009770933098,0.0493860579370522,0.036787311587924074,0.05770958675254434
EARLY_2010_2016,Theil_Sen,HU,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.1,-0.05232882086319561,-0.06815929643102984,0.006573420681490527,0.019392443738374343
EARLY_2010_2016,Theil_Sen,IE,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.0,-0.012109732755790747,-0.005193701931942203,0.003887195360458451,-0.009678130537465357
EARLY_2010_2016,Theil_Sen,IT,primary_common_pc,THEIL_SEN,pp,2010-2016,7,1.0499999999999998,0.0678891655620851,0.047744379385987745,0.0353066683489248,0.04563645938159562
EARLY_2010_2016,Theil_Sen,LV,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.8999999999999999,-0.03491556047711519,-0.04399579503298834,-2.7693192503175368e-05,0.0022829725689116342
EARLY_2010_2016,Theil_Sen,LT,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.11666666666666663,-0.03698830842006107,-0.03967467226072552,-0.00321511245930887,0.032428472935762676
EARLY_2010_2016,Theil_Sen,LU,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-2.6999999999999997,-0.011461994619884397,0.023823193027139755,0.057333466516058175,0.029005671321722715
EARLY_2010_2016,Theil_Sen,MT,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-0.05999999999999996,-0.09652356567915199,0.012420871632641273,0.10049037727869015,0.06348987439784064
EARLY_2010_2016,Theil_Sen,NL,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.6999999999999993,0.034587745099192414,0.018203732325932382,0.014911799484214283,0.024070310397465544
EARLY_2010_2016,Theil_Sen,PL,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.23999999999999985,0.007545220864933588,0.004416896845180762,0.011501275954761248,0.02227669662902798
EARLY_2010_2016,Theil_Sen,PT,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.06000000000000001,0.03407687158387884,0.028574228535757085,0.004730554857683329,0.029982235920221423
EARLY_2010_2016,Theil_Sen,RO,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-0.26666666666666666,-0.07468066805820432,-0.07385877206389753,0.013443883563302617,0.014807649923577526
EARLY_2010_2016,Theil_Sen,SK,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.1,0.011858271546838864,-0.0062951217096149925,0.02533101183489339,0.019919779463561584
EARLY_2010_2016,Theil_Sen,SI,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.21999999999999992,0.023932243398923348,0.029812177757576386,0.03303054375036307,0.037207261468998
EARLY_2010_2016,Theil_Sen,ES,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-0.5,0.05838310964140647,0.05997246852171748,0.017476917418269955,0.033593177952734976
EARLY_2010_2016,Theil_Sen,SE,primary_common_pc,THEIL_SEN,pp,2010-2016,7,-0.13999999999999985,-0.007323113758122002,-0.008777193705956124,0.03912517781676328,0.034561792498985076
EARLY_2010_2016,total_scale,AT,total_scale,OLS,pp,2010-2016,7,0.9249999999999999,0.006534075942176773,0.002227742963442897,0.011397994093681965,0.020421861243387133
EARLY_2010_2016,total_scale,BE,total_scale,OLS,pp,2010-2016,7,0.7607142857142734,0.010758687133579015,-0.005189799136068238,0.01790566514839433,0.021502962494082338
EARLY_2010_2016,total_scale,BG,total_scale,OLS,pp,2010-2016,7,0.36071428571429476,-0.02345099109671931,-0.020302994177249123,0.009080301129243486,0.0252481135419846
EARLY_2010_2016,total_scale,HR,total_scale,OLS,pp,2010-2016,7,0.5249999999999907,0.015029515270214278,0.008607474996732594,0.02507574794465425,0.033664267825950535
EARLY_2010_2016,total_scale,CY,total_scale,OLS,pp,2010-2016,7,0.08571428571428824,0.11636790909394504,0.11895195469731157,0.015688447512042455,0.047997802214319235
EARLY_2010_2016,total_scale,CZ,total_scale,OLS,pp,2010-2016,7,0.36071428571428854,0.005365446851099135,-0.006167306084901159,0.016788415962639264,0.0247523216517786
EARLY_2010_2016,total_scale,DK,total_scale,OLS,pp,2010-2016,7,0.16428571428571093,-0.014180432118990892,-0.02928284267927573,0.03767927963634634,0.018965798104548695
EARLY_2010_2016,total_scale,EE,total_scale,OLS,pp,2010-2016,7,-0.19285714285715605,-0.00666321956063283,-0.001365585749125095,0.018454650565647428,-0.012730724725226494
EARLY_2010_2016,total_scale,FI,total_scale,OLS,pp,2010-2016,7,-1.3214285714285712,0.023037139269837404,0.01968391768612285,0.04569567037723577,0.036486514741279924
EARLY_2010_2016,total_scale,FR,total_scale,OLS,pp,2010-2016,7,0.3964285714285735,0.014620804215217819,0.010974656585350932,0.01745271978934301,0.022995647745885178
EARLY_2010_2016,total_scale,DE,total_scale,OLS,pp,2010-2016,7,0.15000000000000163,-0.0001938678174431303,0.003107359000664832,0.005567581700869882,0.018113372991283537
EARLY_2010_2016,total_scale,EL,total_scale,OLS,pp,2010-2016,7,-0.07499999999999389,0.049121869549823255,0.05816912196743245,0.045314748146621425,0.06346603373433297
EARLY_2010_2016,total_scale,HU,total_scale,OLS,pp,2010-2016,7,0.1142857142857221,-0.05192485131916994,-0.06900569027227217,0.010833355639333627,0.024751771117030537
EARLY_2010_2016,total_scale,IE,total_scale,OLS,pp,2010-2016,7,0.014285714285710883,-0.006151296203130882,-0.012024998954233703,-0.004681218782051344,-0.02147708045671873
EARLY_2010_2016,total_scale,IT,total_scale,OLS,pp,2010-2016,7,1.0892857142857186,0.06644307875676786,0.0479598051853396,0.03396433733385097,0.04685024076419311
EARLY_2010_2016,total_scale,LV,total_scale,OLS,pp,2010-2016,7,0.8928571428571437,-0.02377496180872129,-0.034774975881427694,0.01322141849036598,0.01201614262590331
EARLY_2010_2016,total_scale,LT,total_scale,OLS,pp,2010-2016,7,0.10714285714285486,-0.024435754748358234,-0.03086790466492974,0.008019814136395357,0.04122519214973902
EARLY_2010_2016,total_scale,LU,total_scale,OLS,pp,2010-2016,7,-2.7107142857142623,-0.03743622827792713,0.0012219377771895263,0.03316062087854039,0.007939403289442704
EARLY_2010_2016,total_scale,MT,total_scale,OLS,pp,2010-2016,7,-0.02142857142856283,-0.11589672950311528,-0.006279082955142869,0.08384319476733663,0.0527012361872891
EARLY_2010_2016,total_scale,NL,total_scale,OLS,pp,2010-2016,7,0.7607142857143038,0.03217352774116956,0.019653387537247775,0.014097563089179926,0.017355957551429567
EARLY_2010_2016,total_scale,PL,total_scale,OLS,pp,2010-2016,7,0.19642857142856696,0.015091993969981142,0.01724772499358187,0.008889910505941926,0.0214626158552417
EARLY_2010_2016,total_scale,PT,total_scale,OLS,pp,2010-2016,7,0.07142857142857388,0.04000691415337149,0.035903222351684444,0.006369576905035107,0.036577652032454756
EARLY_2010_2016,total_scale,RO,total_scale,OLS,pp,2010-2016,7,-0.2678571428571363,-0.0648035986298565,-0.06223710208707088,0.01965021881637431,0.023549575555416775
EARLY_2010_2016,total_scale,SK,total_scale,OLS,pp,2010-2016,7,0.07142857142857365,0.00983665683045155,-0.01130900401886241,0.020197992501300156,0.023917339489823903
EARLY_2010_2016,total_scale,SI,total_scale,OLS,pp,2010-2016,7,0.3392857142857109,0.02696315425018383,0.024111051042101973,0.027155003016680473,0.03740151663660189
EARLY_2010_2016,total_scale,ES,total_scale,OLS,pp,2010-2016,7,-0.4607142857142742,0.061110751133068464,0.058211447842184995,0.01927561020675013,0.03502205045924613
EARLY_2010_2016,total_scale,SE,total_scale,OLS,pp,2010-2016,7,-0.1607142857142841,-0.016448315676991412,-0.017131383335491624,0.03020728403627596,0.024184866829732244
LATE_2017_2023,primary,AT,primary_common_pc,OLS,pp,2017-2023,7,0.25357142857144127,0.007405674507822267,0.0029921520752664785,0.03277719822656261,0.010911678766098014
LATE_2017_2023,primary,BE,primary_common_pc,OLS,pp,2017-2023,7,0.1392857142856917,0.005504402215691393,0.04647623083747648,0.03586035067448939,0.025821400894858175
LATE_2017_2023,primary,BG,primary_common_pc,OLS,pp,2017-2023,7,0.214285714285694,-0.02763760160406391,-0.04569768514644378,0.01625785863286735,-0.022200116861762657
LATE_2017_2023,primary,HR,primary_common_pc,OLS,pp,2017-2023,7,0.2607142857142874,-0.03184929285814997,-0.0020416670343136067,-0.005726088346948607,-0.02945183546296342
LATE_2017_2023,primary,CY,primary_common_pc,OLS,pp,2017-2023,7,0.8071428571428721,-0.013383387521795652,-0.015115008023278623,0.01793599304657249,0.01648919111779135
LATE_2017_2023,primary,CZ,primary_common_pc,OLS,pp,2017-2023,7,0.5535714285714307,0.015175257538877383,0.016458570717065486,0.03520492324405347,0.01525155959570842
LATE_2017_2023,primary,DK,primary_common_pc,OLS,pp,2017-2023,7,0.25714285714286805,0.007608048107072346,0.0032748055146629954,0.04394141077809218,0.027764453293123277
LATE_2017_2023,primary,EE,primary_common_pc,OLS,pp,2017-2023,7,1.5964285714285786,0.042475552031262395,0.0442713248471489,0.10412120524298311,0.06551430547850874
LATE_2017_2023,primary,FI,primary_common_pc,OLS,pp,2017-2023,7,-0.10000000000000644,0.001911936679780856,0.005790721330351009,0.05147382867779695,0.04892865022330486
LATE_2017_2023,primary,FR,primary_common_pc,OLS,pp,2017-2023,7,-0.48571428571424624,0.011942861443013974,0.021530708356363358,0.03451901214040144,0.022940392456991997
LATE_2017_2023,primary,DE,primary_common_pc,OLS,pp,2017-2023,7,0.3285714285714277,0.030289320665740773,-0.002505711510557235,0.041758830840595354,0.02409055729507398
LATE_2017_2023,primary,EL,primary_common_pc,OLS,pp,2017-2023,7,0.5928571428571477,0.02947635068960008,0.0232825504234025,0.04298047486694868,0.018070227840950612
LATE_2017_2023,primary,HU,primary_common_pc,OLS,pp,2017-2023,7,-0.14999999999998634,0.021323427363351386,0.0015841182085902842,0.024961027758396634,-0.0061464398786079
LATE_2017_2023,primary,IE,primary_common_pc,OLS,pp,2017-2023,7,0.042857142857144974,0.011651383323302681,-0.003402150804179277,0.03114344656505426,0.042010778281483044
LATE_2017_2023,primary,IT,primary_common_pc,OLS,pp,2017-2023,7,0.5000000000000034,-0.006632671155292835,0.004499059071201591,0.013944046600735208,0.0009211612462011224
