geo,representation,ols_progress_score,theil_sen_progress_score,ols_sign,theil_sen_sign,sign_changed_ols_to_theil_sen
EE,TERR,0.052530181472398234,0.04771364635663122,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
EE,CFOOT,0.02347143808612213,0.016100049077529942,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FI,CMUR,-0.538021978021978,-0.45454545454545453,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
FI,DMC,0.00686074497620672,0.008664410198838957,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FI,RMC,0.009345462115101686,0.009082547073834565,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FI,TERR,0.04033429677525245,0.040548510114815244,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FI,CFOOT,0.032098163868715224,0.0334084791608566,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FR,CMUR,-0.11714285714285731,-0.07000000000000028,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
FR,DMC,0.007869524443668296,0.008143561871087036,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FR,RMC,0.00778761580310427,0.0076853295550244815,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FR,TERR,0.024160552180304135,0.02284871898057563,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
FR,CFOOT,0.021069062886092883,0.020191891286937436,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
DE,CMUR,0.21274725274725304,0.19999999999999987,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
