deletion_type,deletion_id,n_countries,n_years,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,cell_metric,full_grid_range_metric,selected_endpoint_metric,full_grid_minimum,full_grid_minimum_cell_key,full_grid_minimum_cell_label,full_grid_maximum,full_grid_maximum_cell_key,full_grid_maximum_cell_label,full_grid_range,selected_endpoint_cell_difference,dmc_minus_cmur_territorial,dmc_minus_cmur_consumption,rmc_minus_dmc_territorial,rmc_minus_dmc_consumption,rmc_minus_cmur_territorial,rmc_minus_cmur_consumption,consumption_minus_territorial_cmur,consumption_minus_territorial_dmc,consumption_minus_territorial_rmc
LOCO,NL,26,14,0.06393162393162392,0.401025641025641,0.5528205128205128,0.07213675213675212,0.4803418803418803,0.7073504273504274,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.06393162393162392,a_CMUR_TERR,CMUR × territorial,0.7073504273504274,f_RMC_CFOOT,RMC × consumption,0.6434188034188035,0.6434188034188035,0.33709401709401704,0.40820512820512816,0.15179487179487183,0.2270085470085471,0.4888888888888889,0.6352136752136753,0.008205128205128198,0.07931623931623932,0.1545299145299146
LOCO,PL,26,14,0.05025641025641025,0.39829059829059826,0.5439316239316239,0.055726495726495726,0.4659829059829059,0.6909401709401709,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.05025641025641025,a_CMUR_TERR,CMUR × territorial,0.6909401709401709,f_RMC_CFOOT,RMC × consumption,0.6406837606837607,0.6406837606837607,0.348034188034188,0.4102564102564102,0.1456410256410256,0.22495726495726498,0.4936752136752136,0.6352136752136752,0.005470085470085477,0.06769230769230766,0.14700854700854704
LOCO,PT,26,14,0.07965811965811966,0.41538461538461535,0.5487179487179487,0.07897435897435896,0.481025641025641,0.7025641025641025,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.07897435897435896,d_CMUR_CFOOT,CMUR × consumption,0.7025641025641025,f_RMC_CFOOT,RMC × consumption,0.6235897435897435,0.6229059829059829,0.3357264957264957,0.40205128205128204,0.1333333333333333,0.22153846153846152,0.469059829059829,0.6235897435897435,-0.0006837606837606924,0.06564102564102564,0.15384615384615385
LOCO,RO,26,14,0.05025641025641025,0.3545299145299145,0.5008547008547009,0.012649572649572649,0.40854700854700854,0.6505982905982907,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.012649572649572649,d_CMUR_CFOOT,CMUR × consumption,0.6505982905982907,f_RMC_CFOOT,RMC × consumption,0.637948717948718,0.6003418803418804,0.30427350427350425,0.39589743589743587,0.14632478632478635,0.24205128205128212,0.4505982905982906,0.637948717948718,-0.0376068376068376,0.054017094017094036,0.1497435897435898
LOCO,SK,26,14,0.09743589743589742,0.416068376068376,0.5056410256410256,0.12,0.4981196581196581,0.6615384615384615,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09743589743589742,a_CMUR_TERR,CMUR × territorial,0.6615384615384615,f_RMC_CFOOT,RMC × consumption,0.5641025641025641,0.5641025641025641,0.31863247863247857,0.3781196581196581,0.08957264957264965,0.16341880341880344,0.4082051282051282,0.5415384615384615,0.022564102564102573,0.08205128205128209,0.15589743589743588
LOCO,SI,26,14,0.10495726495726496,0.4133333333333333,0.5411965811965811,0.06461538461538462,0.4591452991452991,0.6841025641025641,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.06461538461538462,d_CMUR_CFOOT,CMUR × consumption,0.6841025641025641,f_RMC_CFOOT,RMC × consumption,0.6194871794871795,0.5791452991452991,0.30837606837606835,0.3945299145299145,0.12786324786324782,0.22495726495726498,0.4362393162393161,0.6194871794871795,-0.04034188034188034,0.04581196581196584,0.142905982905983
LOCO,ES,26,14,0.12205128205128205,0.40717948717948715,0.5452991452991452,0.07829059829059828,0.4871794871794871,0.7141880341880341,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.07829059829059828,d_CMUR_CFOOT,CMUR × consumption,0.7141880341880341,f_RMC_CFOOT,RMC × consumption,0.6358974358974359,0.5921367521367521,0.28512820512820514,0.40888888888888886,0.1381196581196581,0.227008547008547,0.42324786324786323,0.6358974358974359,-0.04376068376068376,0.07999999999999996,0.16888888888888887
LOCO,SE,26,14,0.11042735042735041,0.4591452991452991,0.5596581196581196,0.09743589743589742,0.530940170940171,0.7148717948717949,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09743589743589742,d_CMUR_CFOOT,CMUR × consumption,0.7148717948717949,f_RMC_CFOOT,RMC × consumption,0.6174358974358974,0.6044444444444445,0.3487179487179487,0.43350427350427356,0.10051282051282051,0.18393162393162388,0.4492307692307692,0.6174358974358974,-0.01299145299145299,0.07179487179487187,0.15521367521367524
LOYO,2010,27,13,0.1221001221001221,0.5164835164835165,0.5854700854700854,0.11965811965811966,0.5598290598290598,0.7344322344322345,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.11965811965811966,d_CMUR_CFOOT,CMUR × consumption,0.7344322344322345,f_RMC_CFOOT,RMC × consumption,0.6147741147741148,0.6123321123321124,0.3943833943833944,0.44017094017094016,0.06898656898656885,0.17460317460317465,0.4633699633699633,0.6147741147741148,-0.0024420024420024333,0.0433455433455433,0.1489621489621491
LOYO,2011,27,13,0.1282051282051282,0.46459096459096455,0.5915750915750917,0.12148962148962149,0.49877899877899873,0.7478632478632479,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.12148962148962149,d_CMUR_CFOOT,CMUR × consumption,0.7478632478632479,f_RMC_CFOOT,RMC × consumption,0.6263736263736264,0.6196581196581197,0.33638583638583636,0.3772893772893772,0.12698412698412714,0.24908424908424914,0.4633699633699635,0.6263736263736264,-0.0067155067155067055,0.03418803418803418,0.15628815628815618
LOYO,2012,27,13,0.14224664224664224,0.39316239316239315,0.5280830280830281,0.12515262515262515,0.43101343101343104,0.6764346764346765,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.12515262515262515,d_CMUR_CFOOT,CMUR × consumption,0.6764346764346765,f_RMC_CFOOT,RMC × consumption,0.5512820512820513,0.5341880341880343,0.2509157509157509,0.3058608058608059,0.13492063492063494,0.24542124542124544,0.38583638583638585,0.5512820512820513,-0.01709401709401709,0.03785103785103788,0.14835164835164838
LOYO,2013,27,13,0.0995115995115995,0.37606837606837606,0.5097680097680098,0.0757020757020757,0.43101343101343104,0.6733821733821733,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.0757020757020757,d_CMUR_CFOOT,CMUR × consumption,0.6733821733821733,f_RMC_CFOOT,RMC × consumption,0.5976800976800977,0.5738705738705738,0.2765567765567766,0.3553113553113553,0.13369963369963378,0.24236874236874228,0.41025641025641035,0.5976800976800977,-0.023809523809523808,0.05494505494505497,0.16361416361416348
LOYO,2014,27,13,0.09584859584859586,0.3956043956043956,0.5433455433455433,0.08852258852258853,0.47496947496947495,0.7081807081807082,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.08852258852258853,d_CMUR_CFOOT,CMUR × consumption,0.7081807081807082,f_RMC_CFOOT,RMC × consumption,0.6196581196581197,0.6123321123321124,0.29975579975579975,0.3864468864468864,0.14774114774114772,0.23321123321123327,0.44749694749694746,0.6196581196581197,-0.007326007326007328,0.07936507936507936,0.16483516483516492
LOYO,2015,27,13,0.0989010989010989,0.4157509157509158,0.532967032967033,0.07509157509157507,0.48229548229548225,0.6929181929181929,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.07509157509157507,d_CMUR_CFOOT,CMUR × consumption,0.6929181929181929,f_RMC_CFOOT,RMC × consumption,0.6178266178266179,0.594017094017094,0.3168498168498169,0.4072039072039072,0.11721611721611719,0.21062271062271065,0.4340659340659341,0.6178266178266179,-0.023809523809523822,0.06654456654456647,0.15995115995115994
