geo,representation,n_years,k_parameters,df_resid,slope,conventional_se,conventional_interval_low,conventional_interval_high,conventional_excludes_zero,hc3_se,hc3_interval_low,hc3_interval_high,hc3_excludes_zero,hac_lag1_se,hac_lag1_interval_low,hac_lag1_interval_high,hac_lag1_excludes_zero,hac_lag2_se,hac_lag2_interval_low,hac_lag2_interval_high,hac_lag2_excludes_zero,in_any_point_slope_sign_disagreement,implementation
DE,RMC,14,2,12.0,-0.0019495145033433803,0.002949611949492753,-0.008376166861437957,0.004477137854751195,False,0.003973675918203147,-0.0106074105748641,0.00670838156817734,False,0.0029617283588508026,-0.008402566249596774,0.0045035372429100134,False,0.0022354918523544405,-0.0068202328318697925,0.002921203825183032,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
DE,TERR,14,2,12.0,0.026142977049979033,0.0030393364792009716,0.01952083173542033,0.032765122364537734,True,0.004153171464430209,0.017093993779470663,0.0351919603204874,True,0.003645939845551613,0.018199156538296225,0.034086797561661844,True,0.003604087541415899,0.018290344875498254,0.03399560922445981,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
DE,CFOOT,14,2,12.0,0.019937922640967637,0.002026220670697219,0.0155231670479156,0.024352678234019674,True,0.0027806026327864605,0.013879509950446024,0.025996335331489248,True,0.0018980057587601393,0.015802523342998764,0.02407332193893651,True,0.0014053623672701423,0.016875901084827942,0.022999944197107332,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
EL,CMUR,14,2,12.0,0.3206593406593406,0.057133839806972876,0.19617539747975588,0.4451432838389253,True,0.07971908835345756,0.14696636818545192,0.49435231313322925,True,0.07853021285743705,0.1495567053690584,0.4917619759496228,True,0.08211258855712675,0.1417513792338864,0.49956730208479483,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
EL,DMC,14,2,12.0,0.034654679128397176,0.0029296186569637028,0.028271588412572185,0.041037769844222166,True,0.004243156031867325,0.02540963632788476,0.04389972192890959,True,0.0039409916430023124,0.026067995975012408,0.04324136228178194,True,0.0036896724701276037,0.02661557341321318,0.042693784843581176,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
EL,RMC,14,2,12.0,0.032726316225762636,0.0032728213870661968,0.02559545099841351,0.03985718145311176,True,0.005122617926397792,0.02156509056624379,0.04388754188528148,True,0.004692708510633732,0.02250178271690527,0.04295084973462,True,0.004575077608713314,0.022758078435174807,0.042694554016350465,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
EL,TERR,14,2,12.0,0.032822931306744435,0.00241272556886397,0.027566053882837456,0.038079808730651414,True,0.0018829225740393386,0.028720395445157483,0.03692546716833139,True,0.0016717694991740103,0.029180458473697744,0.03646540413979112,True,0.0013188418546821023,0.029949421753460947,0.03569644086002792,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
EL,CFOOT,14,2,12.0,0.028654475040789773,0.004369116382232445,0.019134988212872454,0.03817396186870709,True,0.005905947309970893,0.015786521270486537,0.04152242881109301,True,0.00572645353822929,0.0161776046032025,0.041131345478377046,True,0.0056132679486562255,0.016424214817897742,0.040884735263681804,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HU,CMUR,14,2,12.0,0.009450549450549461,0.047591257035787864,-0.09424189195901589,0.11314299086011481,False,0.05813279911067172,-0.11720993907624974,0.13611103797734866,False,0.049539478348441,-0.09848670155005568,0.1173878004511546,False,0.046465843903230775,-0.09178982738712452,0.11069092628822344,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HU,DMC,14,2,12.0,-0.035237127681311195,0.008392341152078105,-0.05352246825440322,-0.016951787108219173,True,0.009612526566689204,-0.05618102389033071,-0.014293231472291681,True,0.010031552434123679,-0.057094002826259385,-0.013380252536363008,True,0.010473040194614324,-0.05805592202295745,-0.012418333339664939,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
